Publisher Name,Status,Email,Website,Submission Guidelines/Notes
Amigo Spiel,Accepting Game Submissions,,http://www.amigo-spiele.de,"Site in German: Information about submission can be found by going to Amigo Spiel and reading the pdf located 
here."
Atlas Games,Accepting Game Submissions,,http://www.atlas-games.com,Submission Info: http://www.atlas-games.com/information_writer.php
dV Giochi,Accepting Game Submissions,,http://http://www.dvgiochi.com,"From their site: ""Each year dV Giochi publishes the winner of the ""GIOCO INEDITO"" best unpublished game contest. The designers have to send a prototype in compliance with the contest specifications (e.g., 110 cards, a given theme, reasonable game length, etc.). The winner is then published with the sponsorship of Cartamundi (world leader manufacturer of playing cards), and launched during the Essen and Lucca fairs - as a real ""classic"" for collectors."""
FRED Distribution,Accepting Game Submissions,,http://www.freddistribution.com,"To get the process started, please send them a brief description of your game via e-mail. Also please read their pdf located here."
Gamewright,Accepting Game Submissions,,http://www.gamewright.com,"Send an e-mail to Jason Schneider (VP, Product Development) specifying the following information: Because of their high volume of submissions they cannot say how long it will take to respond.  Nevertheless they do review each and every submission."
Hans im Glück,Accepting Game Submissions,,http://www.hans-im-glueck.de,"Mostly German site with English list of game aids.
Couldn't find English page specifically stating that they are accepting submissions. The German page is: http://www.hans-im-glueck.de/verlag/autoren/autorenleitfaden/ An e-mail is provided: e-mail. Send game rules (in PDF file format less than 5MB) and a photo of the game.  Accepting criteria of 2 games per month from each designer."
Kenzer & Company,Accepting Game Submissions,,http://www.kenzerco.com,Submissions Info: http://www.kenzerco.com/information.php?info_id=12
Kosmos Games,Accepting Game Submissions,,http://www.kosmos.de/index.htm,"Submissions Info: http://www.kosmos.de/content-347-347/spieleentwickler/#. For childrens games ages 5+ (even 3+) you may use this e-mail.
For family games ages 10+ (even 8+) you may use this e-mail."
Mayfair Games,Accepting Game Submissions,,http://www.mayfairgames.com,Submissions Info: http://www.mayfairgames.com/pages/submission-guidelines
Minion Games,Accepting Game Submissions,,http://www.miniongames.com,"Setup an appointment with James Mathe at one of the following events to demo your game to him in person: GTS, Origins, Protospiel- Ann Arbor, GenCon, Protospiel- Milwaukee, Essen, BGG.CON."
Playroom Entertainment,Accepting Game Submissions,,http://www.playrooment.com/,"Please follow the following submission guidelines:  ""Please send us a basic description and overview of your game idea (a sell sheet) to Submissions e-mail.  Be sure to include: Please take note that it could take 8 to 12 weeks for review."
Toy Vault,Accepting Game Submissions,,http://www.toyvault.com,Submission info: send an e-mail to Submissions e-mail.
"US Playing Card company, aka Bicycle Games",Accepting Game Submissions,,http://www.bicyclecards.com,"Submission info: Use this linked form (you will be able to attach a sell sheet, rules document, or link a video if you like). Games they are interested in publishing include:"
Z-Man Games,Accepting Game Submissions,,http://www.zmangames.com,"Submission Info: http://www.zmangames.com/contact.html.
They are NOT looking for the following: They say it could take weeks and sometimes months before getting a response."
Jolly Roger Games,Write For Submission Info,,http://www.jollyrogergames.com,No page specifically stating that they are accepting submissions.  Their contact form is NOT working.  The best way to contact is to CALL them by phone.
"All Things Equal, Inc.",Current Submission Status Unknown,,http://www.loadedquestions.com,E-mail submit form does not work (errors out).
JKLM Games,Current Submission Status Unknown,,http://www.jklmgames.co.uk,"E-mail bounced back, no other way to contact this Publisher."
North Star Games,Current Submission Status Unknown,,http://www.northstargames.com,"*** Under Review ***
No explicit page indicating that they accept outside submissions."
Queen Games,Current Submission Status Unknown,,http://www.queen-games.de/,"*** Under Review ***
Site in German but has a contact form."
Rio Grande Games,Current Submission Status Unknown,,http://www.riograndegames.com,"*** Under Review ***
The only way to get Rio Grande to look at a game is to go see Jay at a convention, and you can demo your game for him there. They don't accept mail-in submissions."
Winning Moves (Germany),Current Submission Status Unknown,,http://www.winning-moves.de,"*** Under Review ***
Submission Info: http://www.winning-moves.de/index.php?mid=6&cid=6
BGDF member says they no longer accept submissions."
Winning Moves (USA),Only Accepting From Agent/Broker,,http://www.winning-moves.com,Submission Info: http://winning-moves.com/inventors/
Wizards of the Coast/Avalon Hill,Only Accepting From Agent/Broker,,http://company.wizards.com,Submission Info: http://wizards.custhelp.com
Days of Wonder,Not Accepting Game Submissions,,http://www.daysofwonder.com,Submission Info: http://www.daysofwonder.com/en/contact/game-designer/?tab=corporate
Fantasy Flight Games,Not Accepting Game Submissions,,http://www.fantasyflightgames.com,Submissions Info: https://www.fantasyflightgames.com/en/more/careers/ and according to Customer Service they are not accepting outside submissions (from Britty).
Live Oak Games,Not Accepting Game Submissions,,http://www.liveoakgames.com,They are not accepting submissions (from Patrick Matthews).
Ravensburger Spieleverlag,Not Accepting Game Submissions,,http://www.ravensburger.com,"From the response e-mail that I got, it seems like they are not accepting submissions (from Kristina Leu)."
Steve Jackson Games,Not Accepting Game Submissions,,http://www.sjgames.com/,Submission Info: http://www.sjgames.com/general/guidelines/authors/card-board.html
Stronghold Games,Not Accepting Game Submissions,,https://strongholdgames.com,They are not accepting submissions (from Stephen M. Buonocore).
Twilight Creations,Not Accepting Game Submissions,,http://www.twilightcreationsinc.com,Submission Info: http://www.twilightcreationsinc.com/en/gamesubmissions.html
