name,website,contact
1 More Time Games,http://www.1moretimegames.com/,
10 Traders GmbH,https://10traders.de/,info@10traders.de
25th Century Games,https://www.25thcenturygames.com/,
2Tomatoes Games,https://www.2tomatoesgames.com/,
4Dados,https://4dados.es/,4dados@4dados.es; info@midominio.com
999 Games B.V.,https://www.999games.nl/,
A-Games,http://www.a-games.hu/,info@a-games.hu
AMIGO Games (AMIGO Spiel + Freizeit GmbH),https://www.amigo.games/,
APE Games (AKA Advanced Primate Entertainment),http://www.apegames.com/,
Abeilles Editions,https://www.abeilles-editions.fr/,
Absurdist Productions,https://absurdistproductions.com/,
Academy Games,http://www.academygames.com/,sales@academygames.com
Aces Games (AKA Eleven Aces Gruppo AKA Eleven Aces),https://acesgames.it/,
Act in games,http://www.act-in-games.com/en/,actingames@icloud.com; info@actingames.com
Adam's Apple Games,https://adamsapplegames.com/,adam@adamsapplegames.com
Adlung-Spiele,http://www.adlung-spiele.de/,info@adlung-spiele.de
Adventure Together,https://adventuretogether.games/,admin@adventuretogether.games; applied@checkout.gear; apply.emailadmin@adventuretogether.games; calculated@checkout.subtotal
Agie Games,https://agiegames.com/,info@agiegames.com; pedro@agiegames.com
Albi (Albi Česká republika),https://www.albi.eu/en,
Alga,https://algaspel.se/,info@algaspel.se; info@brio.net
Alley Cat Games,https://www.alleycatgames.com/,awards@www.alleycatgames.com; cs@alleycatgames.com; gpsr@euify.eu; vote@www.alleycatgames.com
Alligator Alley Entertainment,https://alligatoralleyentertainment.com/,
Allplay (FKA BoardGameTables.com),https://allplay.com/,
Analog Game Studios,http://analoggamestudios.com/,
Ankama Games,https://www.ankama.com/,
Apeiron Games,https://apeiron.games/,
Arcane Wonders,https://www.arcanewonders.com/,customerservice@arcanewonders.com; customerservice@arcanewonders.com.do; customerservice@arcanewonders.com.we; kickstarter@arcanewonders.com
Archona Games,https://www.archonagames.com/,
Ares Games (AKA Ares Games Srl),https://www.aresgames.eu/,
Art of Games SPRL (AKA Art of Games Vincent Se Lenne),https://artofgames.com/,contact@artofgames.com
Artipia Games,http://www.artipiagames.com/,aimed@gamers.our; register@www.artipiagames.com; services@www.paypal.com; support@artipiagames.com
Arty-Dé (AKA Tomatrope),https://delartetdesjeux.fr/,contact@delartetdesjeux.fr
Asmodee,https://corporate.asmodee.com/,
Astoria Games Co.,https://astoriagames.com/,
Atalia Games (Atalia Jeux),,
Atomo Games,https://atomo-games.com/,juegos@atomo-games.com; richi@gdmgames.com
Auzou,https://www.auzou.fr/,
Awaken Realms,https://awakenrealms.com/,
Awaken Realms Lite,https://awakenrealmslite.com/,
Azao Games,https://azaogames.com/,info@azaogames.com
BANNAN Games,https://bannan.be/,info@bannan.be; nathan@bannan.be; received@bannan.however
BGNations Limited Company (AKA BGN BoardGameNations),https://www.bgnations.com/,
BLAM!,https://blam-edition.com/,
Backspindle Games Ltd.,http://www.backspindlegames.com/,
Banana Panda,https://bananapanda.com/,
Banana Smile,https://www.banana-smile.com/,
Bankiiiz Editions,http://bankiiiz.com/,contact@bankiiiz.com; contact@bankiiiz.com.bankiiiz; contact@bankiiiz.comnum
Bellow's Intent / Bellows Intent,https://www.bellowsintent.com/,
Best With 1,https://bestwith1.com/,gabe@bestwith1.com; support@bestwith1.comby
Beyond Cataclysm (AKA Beyond Cataclysm Books),https://beyondcataclysm.co.uk/,
"Bicycle Games (AKA Games by Bicycle, AKA United States Playing Card Company)",http://www.bicyclecards.com/,information.privacy@cartamundi.com; privacy@cartamundi.com; privacy@cartamundi.com.recipientcountry; privacy@cartamundi.com.we; support@cardtopia.com
Big Potato Games,https://bigpotato.co.uk/https://bigpotato.com/,
Bioviva,https://www.bioviva.com/,
Black Box Adventures,https://blackboxadventures.com/,info@blackboxadventures.com; info@blackboxadventures.com.black; info@blackboxadventures.com.om
Black Site Studios,https://blacksitestudio.com/,sales@blacksitestudio.com; sales@blacksitestudio.com.our
BluEncore,https://bluencore.com/,follow@blu.encore; info@bluencore.com.changes; info@bluencore.com.contact; info@bluencore.com.you; tag@blu.encore
Blue Cocker Games,https://bluecocker.com/,o@4.dsdn; x@4.gx
Blue Orange (EU),http://www.blueorangegames.eu/,businesses.cil@ovh.net; cil@ovh.net; contact@tribuo.fr; info@blueorangegames.eu; info@blueorangegames.eu.call; info@blueorangegames.eu.specific; jalal@blueorangegames.eu; timothee@blueorangegames.eu
Blue Star Press,https://bluestarpress.com/,contact@bluestarpress.com; contact@bluestarpress.com.support
"Board & Dice (Board&Dice, Board and Dice)",http://boardanddice.com/,specified@checkout.please
Board Game Box Publishing,https://www.boardgamebox.life/,info@boardgamebox.life
Bombyx,,
Boquerón Games,https://boquerongames.com/,
Bounty Board Games,https://bountyboardgames.com/,
Brain Games,https://brain-games.com/,bgp@brain-games.com; info@brain-games.com; info@brain-games.com.you; info@dvi.gov.lv; located@publishing.brain-games.com.products
Brain Picnic,https://brainpicnic.com/,hola@brainpicnic.com
Bright Eye Games,https://www.brighteyegames.com/,hello@brighteyegames.com
Broadway Toys LTD (Longshore Limited),https://www.longshore.com.hk/,enquiry@longshore.com.hk; sales-domestic@longshore.com.hk; sales-domestic@longshore.com.hkwebsite
Buffalo Games  (AKA Buffalo Games & Puzzles),https://buffalogames.com/,
Bully Pulpit Games,https://bullypulpitgames.com/,info@bullypulpitgames.com; online@bpglink.com
Burnt Island Games,http://www.burntislandgames.com/,info@burntislandgames.com; info@burntislandgames.com.this; service@burntislandgames.com; service@burntislandgames.comcontactcopyright
Button Shy Games,http://buttonshygames.com/,club@patreon.home; club@patreon.join
CMYK Games,https://cmyk.games/,available@www.adrservices.com; dashboard@dashboard.hcaptcha.com.6.ph; hello@cmyk.games; legal@imachines.com; legal@imachines.com.by; page@hcaptchastatus.com; privacy@imachines.com; reason@all.because; support@hcaptcha.com; support@hcaptcha.com.15.our; support@hcaptcha.com.companyaboutjobstrademarksai; support@hcaptcha.com.master; support@hcaptcha.com.processing; support@hcaptcha.com.we; support@hcaptcha.com.you; support@hcaptcha.com.your; support@hcaptcha.comchanges; support@hcaptcha.comcookie; support@hcaptcha.comimpressum; support@hcaptcha.comnotice; support@hcaptcha.comwarranty; support@imachines.com; website@hcaptcha.com; website@www.hcaptcha.com
Calliope Games,http://www.calliopegames.com/,
Capital Gains Studio,https://www.capitalgainsgroup.com/,info@capitalgainsgroup.com; info@capitalgainsgroup.comour
Capstone Games,https://capstone-games.com/,contact@capstone-games.com; contact@capstone-games.com.waiver
Captain Games,https://captain.games/,
Catalyst Game Labs,https://www.catalystgamelabs.com/,info@catalystgamelabs.com; info@catalystgamelabs.com.brandslicensesservicesstoreprivacy
Catastrophe Games,https://catastrophegames.net/,pao@catastrophegames.net
Catch Up Games,http://www.catchupgames.com/,contact.dp@hachetteboardgames.fr; contact.dp@hachetteboardgames.fr.pour
Cayro,https://cayro.es/,cayro@cayro.es
Chalk and Chuckles,https://chalkandchuckles.com/,info@chalkandchuckles.com; info@chalkandchuckles.com.you
Chaosium Inc.,http://www.chaosium.com/,andrew@chaosium.com; brian@chaosium.com; bridgett@chaosium.com; chaosium@chaosium.com; customerservice@chaosium.com; daria@chaosium.com; david.larkins@chaosium.com; david@chaosium.com; dustin@chaosium.com; events@chaosium.com; ian@chaosium.com; james@chaosium.com; jamie@chaosium.com; jason@chaosium.com; jeff@chaosium.com; jeremiah@chaosium.com; kickstarter@chaosium.com; kuba@chaosium.com; lynne@chaosium.com; mark@chaosium.com; mike.curry@chaosium.com; mike@chaosium.com; mob@chaosium.com; nick.brooke@chaosium.com; purchase@chaosium.com; rick@chaosium.com; susan@chaosium.com
Cheatwell Games,https://cheatwell.com/,sales@cheatwell.com; sales@cheatwell.comwebsite; ussales@cheatwell.com
Cheeky Parrot Games,http://www.cheekyparrotgames.com/,instead.service@cheekyparrotgames.com; sales@cheekyparrotgames.com; service@cheekyparrotgames.com
